Event Type,Week,Away Team,Home Team,Closing Spread,Total,Away Implied Score,Home Implied Score,Favorite,Actual winner,Away Score,Home Score,Favorite Covered,Post Game Spread,Underdog won,Road dog,Road dog won,Home dog,Home dog won,Actual Total,Over/Under
Regular Season,1,BAL,KC,2.5,46.0,21.75,24.25,KC,KC,20.0,27.0,True,4.5,False,True,False,False,False,47.0,Over
Regular Season,1,GB,PHI,1.0,49.5,24.25,25.25,PHI,PHI,29.0,34.0,True,4.0,False,True,False,False,False,63.0,Over
Regular Season,1,ARI,BUF,6.5,45.5,19.5,26.0,BUF,BUF,28.0,34.0,False,0.5,False,True,False,False,False,62.0,Over
Regular Season,1,HOU,IND,3.0,47.5,25.25,22.25,HOU,HOU,29.0,27.0,False,1.0,False,False,False,True,False,56.0,Over
Regular Season,1,MIN,NYG,1.0,42.0,21.5,20.5,MIN,MIN,28.0,6.0,True,21.0,False,False,False,True,False,34.0,Under
Regular Season,1,NE,CIN,7.5,41.0,16.75,24.25,CIN,NE,16.0,10.0,False,13.5,True,True,True,False,False,26.0,Under
Regular Season,1,PIT,ATL,4.0,43.0,19.5,23.5,ATL,PIT,18.0,10.0,False,12.0,True,True,True,False,False,28.0,Under
Regular Season,1,CAR,NO,3.5,41.5,19.0,22.5,NO,NO,10.0,47.0,True,33.5,False,True,False,False,False,57.0,Over
Regular Season,1,TEN,CHI,4.0,43.0,19.5,23.5,CHI,CHI,17.0,24.0,True,3.0,False,True,False,False,False,41.0,Under
Regular Season,1,JAC,MIA,3.5,49.5,23.0,26.5,MIA,MIA,17.0,20.0,False,0.5,False,True,False,False,False,37.0,Under
Regular Season,1,DEN,SEA,6.5,42.5,18.0,24.5,SEA,SEA,20.0,26.0,False,0.5,False,True,False,False,False,46.0,Over
Regular Season,1,LV,LAC,3.0,40.5,18.75,21.75,LAC,LAC,10.0,22.0,True,9.0,False,True,False,False,False,32.0,Under
Regular Season,1,WAS,TB,4.0,42.5,19.25,23.25,TB,TB,20.0,37.0,True,13.0,False,True,False,False,False,57.0,Over
Regular Season,1,DAL,CLE,2.0,42.5,20.25,22.25,CLE,DAL,33.0,17.0,False,18.0,True,True,True,False,False,50.0,Over
Regular Season,1,LA,DET,5.5,53.5,24.0,29.5,DET,DET,20.0,26.0,True,0.5,False,True,False,False,False,46.0,Under
Regular Season,1,NYJ,SF,3.5,43.0,19.75,23.25,SF,SF,19.0,32.0,True,9.5,False,True,False,False,False,51.0,Over
Regular Season,2,BUF,MIA,2.5,49.5,23.5,26.0,MIA,BUF,31.0,10.0,False,23.5,True,True,True,False,False,41.0,Under
Regular Season,2,CLE,JAC,3.0,41.5,19.25,22.25,JAC,CLE,18.0,13.0,False,8.0,True,True,True,False,False,31.0,Under
Regular Season,2,NYG,WAS,1.5,43.0,20.75,22.25,WAS,WAS,18.0,21.0,True,1.5,False,True,False,False,False,39.0,Under
